职位,薪资,城市,地区,垃圾数据,公司,公司规模,招聘者,工作年限,学历
产品经理,20.0,深圳,南山区,科技园3-5年本科,贝壳停车,互联网A轮20-99人,林女士HR,3-5,本科
产品助理,6.5,深圳,南山区,蛇口经验不限本科,威锋网,移动互联网B轮100-499人,霍女士招聘者,经验不限,本科
高级产品经理,27.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,黄先生产品经理,3-5,本科
产品经理,22.5,深圳,福田区,新洲3-5年本科,私募排排网,互联网金融不需要融资100-499人,赵先生招聘主管,3-5,本科
产品经理,21.0,深圳,福田区,华强北5-10年本科,爱华教育集团,在线教育不需要融资1000-9999人,江女士招聘主管,5-10,本科
产品经理（B2C）,15.5,深圳,龙岗区,坂田3-5年本科,星商电子商务有限公司,贸易/进出口C轮1000-9999人,方女士招聘者,3-5,本科
产品方案经理,10.0,深圳,南山区,科技园1年以内本科,科力锐,计算机软件天使轮20-99人,冷女士HRBP,1年以内,本科
产品专员助理,5.0,深圳,龙华区,龙华1年以内学历不限,深圳市中美通用,贸易/进出口未融资20-99人,梁女士人事助理,1年以内,不限
产品专员,10.0,深圳,龙岗区,横岗1-3年本科,同天下科技,互联网A轮20-99人,魏女士总经理助理,1-3,本科
产品经理,16.0,深圳,南山区,科技园3-5年本科,车友援,互联网A轮100-499人,翟女士人事行政,3-5,本科
产品开发,6.0,深圳,龙岗区,坂田1-3年大专,易佰网络,电子商务B轮1000-9999人,符女士招聘专员,1-3,大专
客服中心产品负责人,40.0,深圳,福田区,上梅林5-10年本科,货拉拉科技,互联网D轮及以上1000-9999人,张女士招聘者,5-10,本科
产品总监,30.0,深圳,南山区,南山中心5-10年本科,一起秀,计算机软件未融资100-499人,郑女士HR,5-10,本科
产品经理,33.0,深圳,南山区,科技园5-10年本科,成功快车,电子商务B轮100-499人,刘先生ceo,5-10,本科
高级产品经理,23.5,深圳,南山区,科技园3-5年本科,新浪爱问普惠,互联网金融未融资500-999人,李女士招聘者,3-5,本科
资深前端产品经理,(MJ000546),20-30K·14薪,深圳市,深圳,南山区,西丽3-5年本科,SHEIN（深圳）,电子商务C轮1000-9999人,钟女士HRBP,,
产品设计,8.5,深圳,深圳市,1-3年本科,Mobvista,移动互联网已上市500-999人,hr,1-3,本科
Product,Experience,Manager(产品商业化),深圳市,20-30K·13薪,深圳,南山区,新安3-5年本科,20-30,3薪,李女士高级招聘专员,,
产品总监/资深PM,40.0,深圳,南山区,南山中心5-10年大专,环球易购,电子商务已上市1000-9999人,李先生高级招聘经理,5-10,大专
高级产品经理,23.0,深圳,福田区,莲花5-10年本科,陆金所,互联网金融C轮1000-9999人,林先生招聘者,5-10,本科
产品专员,15.5,深圳,南山区,西丽3-5年本科,吉比特,游戏已上市500-999人,王女士HRBP,3-5,本科
产品经理,22.5,深圳,宝安区,新安5-10年本科,快捷舰,互联网不需要融资20-99人,陈先生CEO,5-10,本科
资金产品经理,18.0,深圳,福田区,华强北3-5年本科,7贷金融,互联网金融不需要融资1000-9999人,王女士HRBP经理,3-5,本科
高级产品经理,27.5,深圳,南山区,科技园5-10年本科,顺丰科技,互联网不需要融资1000-9999人,曾先生招聘者,5-10,本科
产品经理,15.0,深圳,南山区,海王大厦1-3年本科,网旭科技,互联网不需要融资100-499人,招聘者,1-3,本科
产品总监,50.0,深圳,南山区,科技园5-10年本科,明源云,计算机软件已上市1000-9999人,王女士HRD,5-10,本科
产品工程师,11.5,深圳,深圳市,3-5年大专,丽泽智能科技,智能硬件未融资100-499人,夏女士人事专员,3-5,大专
产品经理,20.0,深圳,龙华区,民治3-5年大专,Educiot育联网,移动互联网未融资20-99人,唐先生招聘者,3-5,大专
产品数据经理,16.0,深圳,龙岗区,坂田3-5年本科,IBM,互联网已上市10000人以上,刘女士招聘专员,3-5,本科
产品开发专员,7.5,深圳,龙岗区,坂田1年以内大专,泽汇科技,电子商务未融资1000-9999人,刘先生供应链,1年以内,大专
产品经理,11.5,深圳,福田区,车公庙3-5年大专,聚诚,移动互联网天使轮20-99人,李先生人事经理,3-5,大专
产品专员,7.0,深圳,龙华区,龙华1-3年大专,浪花朵朵旅行,旅游未融资100-499人,谢先生招聘经理,1-3,大专
产品研发经理,20.0,深圳,南山区,科技园5-10年本科,深圳市艾龙,计算机硬件未融资100-499人,王女士人事专员,5-10,本科
产品经理（智能家居类）,15.0,深圳,南山区,前海5-10年大专,环球易购,电子商务已上市1000-9999人,李先生招聘者,5-10,大专
产品开发主管,11.5,深圳,龙岗区,平湖3-5年大专,傲基电子商务,电子商务B轮1000-9999人,任女士高级招聘专员,3-5,大专
产品经理,13.5,深圳,南山区,科技园3-5年本科,君仁科技,互联网金融未融资20-99人,黄女士HR,3-5,本科
高级硬件产品经理,22.5,深圳,南山区,科技园5-10年本科,和而泰,互联网未融资1000-9999人,刘女士HR,5-10,本科
会员产品经理,25.0,深圳,福田区,会展中心3-5年本科,中国联合网络有限公司,通信/网络设备已上市10000人以上,孟女士综合管理岗,3-5,本科
产品经理,15.5,深圳,南山区,科技园1-3年本科,和而泰,互联网未融资1000-9999人,莫先生招聘者,1-3,本科
高级产品经理,30.0,深圳,龙华区,龙华5-10年本科,银盛支付,互联网不需要融资1000-9999人,周先生HR,5-10,本科
PaaS产品经理,20.0,深圳,南山区,科技园3-5年本科,银澎,计算机软件不需要融资500-999人,周先生产品线经理,3-5,本科
产品专员,8.0,深圳,南山区,后海1-3年大专,跨越速运,物流/仓储A轮10000人以上,龚女士HR,1-3,大专
产品设计师,9.5,深圳,龙华区,大浪1-3年大专,REMAX,通信/网络设备不需要融资1000-9999人,姚女士人事专员,1-3,大专
高级产品经理,30.0,深圳,龙岗区,坂田3-5年本科,开思时代,移动互联网C轮1000-9999人,钟女士招聘经理,3-5,本科
产品总监,45.0,深圳,福田区,保税区10年以上本科,光汇石油集团,互联网已上市1000-9999人,苏女士招聘主管,,本科
医疗产品经理,12.5,深圳,宝安区,沙井经验不限本科,深圳天深医疗,医疗健康A轮100-499人,杨女士招聘者,经验不限,本科
产品经理,22.5,深圳,南山区,科技园3-5年本科,火火兔,智能硬件A轮100-499人,王先生HR,3-5,本科
产品经理（2B,Saas）,15-30K,深圳市,深圳,南山区,科技园3-5年大专,明源云,计算机软件已上市1000-9999人,倪女士HR,,
金融产品总监,12.5,深圳,福田区,岗厦1-3年本科,宏飞国际,互联网金融不需要融资500-999人,人事主管,1-3,本科
头程产品经理,20.0,深圳,龙华区,民治5-10年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,5-10,大专
产品经理-风控平台,20.0,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,易女士HRBP,3-5,本科
亚马逊精品产品经理,12.0,深圳,龙岗区,坂田1-3年大专,智汇创想,互联网未融资500-999人,李女士招聘专员,1-3,大专
高级产品经理,37.5,深圳,南山区,深圳湾5-10年本科,盒子科技,互联网金融D轮及以上500-999人,刘先生HRBP,5-10,本科
产品开发,7.5,深圳,龙华区,观澜1-3年大专,海天力,电子商务不需要融资100-499人,曹先生招聘者,1-3,大专
产品总监/YX,55.0,深圳,福田区,香蜜湖5-10年本科,深圳云天励飞,移动互联网B轮500-999人,周先生HRM,5-10,本科
产品总监,30.0,深圳,深圳市,5-10年本科,致远速联,互联网金融不需要融资100-499人,贾先生CEO,5-10,本科
产品专员,7.5,深圳,南山区,科技园应届生本科,中保金服,企业服务A轮20-99人,方先生总经理,应届生,本科
产品研发经理,18.0,深圳,龙岗区,平湖3-5年本科,红力方科技,智能硬件天使轮100-499人,李先生创始人,3-5,本科
产品开发,7.5,深圳,龙岗区,坂田1-3年大专,智汇创想,互联网未融资500-999人,黄女士招聘专员,1-3,大专
产品经理,19.5,深圳,福田区,购物公园3-5年本科,致力达成科技有限公司,计算机软件未融资100-499人,赵女士人事经理,3-5,本科
高级产品经理,20.0,深圳,罗湖区,国贸5-10年大专,阿卡索外教网,在线教育C轮1000-9999人,陈女士HR,5-10,大专
资深供应链产品经理,30.0,深圳,南山区,科技园5-10年本科,Shopee,电子商务已上市1000-9999人,Recruiter,5-10,本科
产品经理,22.5,深圳,深圳市,3-5年本科,恒大智慧充电科技公司,互联网未融资100-499人,黄女士招聘HR,3-5,本科
产品专员,8.0,深圳,龙华区,龙华经验不限大专,速睿科踏,电子商务不需要融资20-99人,张女士人事行政,经验不限,大专
助理产品经理,10.0,深圳,福田区,梅林1-3年大专,朗强科技,智能硬件未融资100-499人,杨女士招聘专员,1-3,大专
产品开发,6.0,深圳,深圳市,1年以内本科,卓士科技,电子商务未融资500-999人,叶女士招聘专员,,本科
产品经理,22.5,深圳,宝安区,新安3-5年本科,老K游戏,游戏已上市500-999人,廖先生城市经理,3-5,本科
运维平台产品经理,30.0,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,张先生招聘经理,3-5,本科
产品经理,20.0,深圳,南山区,科技园5-10年本科,云知声,移动互联网D轮及以上500-999人,胡女士人事主管,5-10,本科
高级产品经理,40.0,深圳,南山区,科技园经验不限学历不限,AKULAKU,互联网金融D轮及以上1000-9999人,麦女士招聘经理,经验不限,不限
产品经理,22.5,深圳,南山区,科技园3-5年本科,竹间智能科技,互联网B轮100-499人,胡女士Recruiter,3-5,本科
资深产品经理（耳机）,22.5,深圳,南山区,西丽5-10年本科,Anker,电子商务已上市500-999人,HR,5-10,本科,
智能产品硬件工程师,20.0,深圳,龙岗区,平湖3-5年本科,傲基电子商务,电子商务B轮1000-9999人,叶女士HR,3-5,本科
高级产品经理,25.0,深圳,南山区,科技园3-5年本科,掌众金服,互联网B轮500-999人,刘先生招聘,3-5,本科
手机产品经理,20.0,深圳,福田区,沙头3-5年本科,一加手机,移动互联网不需要融资1000-9999人,陈女士HR,3-5,本科
产品助理,7.5,深圳,南山区,南头1-3年本科,非零无限,移动互联网A轮20-99人,李先生产品经理,1-3,本科
微视产品运营岗（深圳）,40.0,深圳,南山区,科技园5-10年本科,腾讯,互联网已上市10000人以上,张女士HR,5-10,本科
产品经理,22.5,深圳,南山区,科技园3-5年本科,无秘,移动互联网B轮100-499人,王女士人力资源经理,3-5,本科
招聘,汽配产品开发,5-10K,深圳市,深圳,龙华区,龙华1年以内本科,宝视佳科技,电子商务不需要融资1000-9999人,印女士招聘专员,,
产品总监,32.5,深圳,龙岗区,平湖5-10年本科,傲基电子商务,电子商务B轮1000-9999人,李先生招聘主管,5-10,本科
产品经理,9.5,深圳,龙岗区,坂田经验不限大专,Armortec,智能硬件未融资0-20人,戴先生总经理,经验不限,大专
产品经理,21.5,深圳,南山区,科技园3-5年本科,掌阅科技,移动互联网已上市100-499人,陈女士行政人事专员,3-5,本科
产品总监,37.5,深圳,南山区,科技园5-10年本科,高灯科技,互联网B轮100-499人,蒋女士招聘者,5-10,本科
产品渲染师,16.0,深圳,龙岗区,平湖3-5年本科,傲基电子商务,电子商务B轮1000-9999人,李先生招聘主管,3-5,本科
数据产品经理,12.5,深圳,罗湖区,国贸1-3年本科,阿卡索外教网,在线教育C轮1000-9999人,彭女士HR,1-3,本科
电商产品经理,13.0,深圳,龙岗区,坂田5-10年大专,德玛特,电子商务未融资500-999人,李先生招聘经理,5-10,大专
产品主管,11.0,深圳,龙岗区,横岗1-3年本科,晶与埔实业有限公司,新能源未融资20-99人,刘女士行政人事主管,1-3,本科
美妆,电商产品开发,5-10K,深圳市,深圳,龙华区,龙华经验不限大专,宝视佳科技,电子商务不需要融资1000-9999人,印女士招聘专员,,
