职位,薪资,城市,地区,垃圾数据,公司,公司规模,招聘者,工作年限,学历
客服产品经理,15.0,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,张先生HR经理,3-5,本科
产品经理,16.5,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,冯女士HR,3-5,本科
高级产品经理,30.0,深圳,宝安区,福永5-10年本科,跨越速运,物流/仓储A轮10000人以上,柯女士招聘者,5-10,本科
产品经理,12.5,深圳,福田区,莲花5-10年本科,金融资产交易所有限责任公司,投资/融资不需要融资500-999人,张女士HRBP,5-10,本科
AI产品经理,22.5,深圳,福田区,保税区3-5年本科,金服银行科技中心,互联网金融已上市10000人以上,杨女士HRBP,3-5,本科
产品总监,35.0,深圳,南山区,科技园5-10年本科,随手科技,互联网C轮1000-9999人,易女士HRBP,5-10,本科
产品经理,20.0,深圳,宝安区,西乡3-5年本科,东峰盛科技,互联网未融资100-499人,范先生总经理,3-5,本科
产品经理,25.0,深圳,福田区,保税区5-10年本科,光汇石油集团,互联网已上市1000-9999人,苏女士招聘主管,5-10,本科
APP产品经理,20.0,深圳,深圳市,5-10年本科,三世缘,电子商务不需要融资100-499人,邱先生招聘者,5-10,本科
产品经理,22.5,深圳,福田区,梅林3-5年本科,货拉拉科技,互联网D轮及以上1000-9999人,向先生CTO,3-5,本科
高级产品经理,25.0,深圳,南山区,科技园5-10年本科,万兴科技,计算机软件已上市500-999人,刘先生事业部总监,5-10,本科
穿戴软件产品经理,22.5,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,邓先生招聘经理,3-5,本科
软件产品经理(003541),30.0,深圳,福田区,华强南3-5年本科,vivo,移动互联网不需要融资10000人以上,郭女士招聘经理,3-5,本科
数据产品经理,45.0,深圳,宝安区,新安3-5年本科,vivo,移动互联网不需要融资10000人以上,邓先生招聘者,3-5,本科
产品总监,35.0,深圳,龙岗区,坂田5-10年本科,Baseus,移动互联网不需要融资500-999人,郑先生HR,5-10,本科
产品经理,20.0,深圳,宝安区,新安3-5年本科,几米,通信/网络设备不需要融资1000-9999人,刘先生招聘专员,3-5,本科
产品经理,17.5,深圳,罗湖区,国贸3-5年本科,阿卡索外教网,在线教育C轮1000-9999人,郭女士人事招聘,3-5,本科
产品经理,12.5,深圳,福田区,岗厦3-5年硕士,愉乐未来,贸易/进出口未融资20-99人,卞女士HR,3-5,硕士
产品经理/YX,30.0,深圳,福田区,香蜜湖3-5年本科,深圳云天励飞,移动互联网B轮500-999人,周先生HRM,3-5,本科
产品助理,5.5,深圳,龙岗区,坂田经验不限本科,泽汇科技,电子商务未融资1000-9999人,李女士招聘者,经验不限,本科
产品开发,7.5,深圳,龙华区,龙华1-3年大专,艾姆诗,贸易/进出口未融资1000-9999人,刘女士HRBP,1-3,大专
产品开发专员,7.5,深圳,龙华区,龙华经验不限大专,宝视佳科技,电子商务不需要融资1000-9999人,杨先生招聘专员,经验不限,大专
产品开发,7.0,深圳,龙华区,龙华经验不限大专,沃莓科技,电子商务不需要融资1000-9999人,吴女士人事专员,经验不限,大专
产品专员,11.5,深圳,南山区,科技园1-3年本科,深圳市环球数码科...,计算机硬件不需要融资100-499人,李女士人力资源专员,1-3,本科
市场产品经理,32.5,深圳,南山区,科技园5-10年本科,网宿科技,互联网已上市1000-9999人,刘女士招聘经理,5-10,本科
高级产品经理,32.5,深圳,南山区,科技园3-5年本科,久趣英语,在线教育B轮500-999人,柳女士HRBP,3-5,本科
数据产品经理,30.0,深圳,福田区,梅林3-5年本科,货拉拉科技,互联网D轮及以上1000-9999人,刘女士hr,3-5,本科
数通产品SDK开发,25.0,深圳,南山区,科技园3-5年本科,邦彦,通信/网络设备A轮500-999人,王先生招聘者,3-5,本科
产品经理(J12024),32.5,深圳,福田区,梅林经验不限学历不限,货拉拉科技,互联网D轮及以上1000-9999人,张女士招聘者,经验不限,不限
高级产品经理,45.0,深圳,南山区,科技园10年以上大专,玩呗娱乐,游戏不需要融资500-999人,周女士招聘者,,大专
产品专员,7.5,深圳,宝安区,福永1-3年大专,跨越速运,物流/仓储A轮10000人以上,黄先生高级招聘专员,1-3,大专
产品专家,20.5,深圳,南山区,科技园5-10年本科,和而泰,互联网未融资1000-9999人,刘女士HR,5-10,本科
搜索产品经理,30.0,深圳,宝安区,宝安中心3-5年本科,vivo,移动互联网不需要融资10000人以上,张女士招聘经理,3-5,本科
产品运营,8.0,深圳,罗湖区,万象城1-3年本科,中软国际,计算机软件已上市10000人以上,纪女士招聘者,1-3,本科
产品开发专员,6.0,深圳,龙岗区,坂田经验不限本科,泽汇科技,电子商务未融资1000-9999人,王女士人事专员,经验不限,本科
PaaS产品经理,30.0,深圳,南山区,科技园5-10年本科,明源云,计算机软件已上市1000-9999人,袁女士招聘主管,5-10,本科
电商产品经理,9.5,深圳,深圳市,1-3年大专,博爱医疗集团,医疗健康D轮及以上1000-9999人,HRBP,1-3,大专
物流产品经理,21.0,深圳,龙华区,民治3-5年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,3-5,大专
供应链产品专员,10.0,深圳,龙岗区,坂田1-3年本科,星商电子商务有限公司,贸易/进出口C轮1000-9999人,方女士招聘者,1-3,本科
平台产品Leader(产品专家),50.0,深圳,宝安区,新安5-10年本科,京东集团,电子商务已上市10000人以上,桑女士招聘经理,5-10,本科
产品经理,18.5,深圳,龙华区,龙华3-5年大专,恒博国际,企业服务不需要融资1000-9999人,陈女士人事主管,3-5,大专
高级产品经理,22.5,深圳,罗湖区,国贸5-10年学历不限,阿卡索外教网,在线教育C轮1000-9999人,HR,5-10,不限
产品顾问,30.0,深圳,龙华区,民治5-10年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,5-10,大专
存储产品经理/专家,22.5,深圳,南山区,龙华3-5年本科,深信服科技,计算机软件已上市1000-9999人,曾女士招聘专家,3-5,本科
docker、serverless产品经理,27.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,张先生腾讯云产品leader,3-5,本科
产品规划总监（手机）,80.0,深圳,南山区,新安5-10年本科,TCL通讯,通信/网络设备不需要融资1000-9999人,李女士高级招聘专员,5-10,本科
产品经理,15.5,深圳,南山区,科技园经验不限本科,观麦,移动互联网B轮100-499人,黄女士人事经理,经验不限,本科
产品渲染师,10.5,深圳,龙岗区,平湖1-3年大专,傲基电子商务,电子商务B轮1000-9999人,任女士高级招聘专员,1-3,大专
产品开发,7.5,深圳,龙岗区,坂田经验不限大专,蓝思网络技术有限公司,电子商务不需要融资1000-9999人,胡先生人事,经验不限,大专
资深产品经理,38.0,深圳,南山区,科技园3-5年本科,度创,移动互联网不需要融资500-999人,谭先生招聘者,3-5,本科
高级政企方案经理（产品）,40.0,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,张先生招聘者,3-5,本科
电商产品经理,20.0,深圳,南山区,科技园经验不限本科,AKULAKU,互联网金融D轮及以上1000-9999人,王女士招聘经理,经验不限,本科
产品助理,5.0,深圳,宝安区,福永经验不限大专,宏泰祺,电子商务不需要融资100-499人,崔女士HR,经验不限,大专
产品渲染师,11.5,深圳,龙岗区,平湖1-3年大专,傲基电子商务,电子商务B轮1000-9999人,莫女士HR,1-3,大专
产品专员,6.0,深圳,龙岗区,平湖1年以内大专,雷亚商务,互联网不需要融资20-99人,刘先生CEO,1年以内,大专
产品经理（偏财务）,12.5,深圳,龙华区,民治1-3年大专,纵腾,互联网C轮1000-9999人,秦女士HRBP,1-3,大专
C端产品经理,(MJ000221),15-25K,深圳市,深圳,南山区,科技园经验不限学历不限,AKULAKU,互联网金融D轮及以上1000-9999人,王女士招聘经理,,
产品经理,25.0,深圳,南山区,后海3-5年本科,一撕得,互联网B轮100-499人,李先生IOT,3-5,本科
供应链产品专员,15.5,深圳,龙岗区,坂田1-3年本科,星商电子商务有限公司,贸易/进出口C轮1000-9999人,方女士招聘者,1-3,本科
高级产品经理,25.0,深圳,南山区,华侨城3-5年本科,碳云智能科技有限公司,医疗健康A轮500-999人,刘先生开发副总裁,3-5,本科
SaaS产品经理,20.0,深圳,南山区,科技园3-5年本科,明源云,计算机软件已上市1000-9999人,袁女士招聘主管,3-5,本科
产品经理,19.5,深圳,南山区,科技园3-5年本科,深圳这里,互联网A轮100-499人,何女士HR,3-5,本科
高级产品规划经理,37.5,深圳,南山区,新安5-10年本科,TCL通讯,通信/网络设备不需要融资1000-9999人,李女士高级招聘专员,5-10,本科
电子产品测试工程师,6.5,深圳,龙华区,龙华1-3年大专,富士康科技集团,其他行业已上市10000人以上,刘女士HR,1-3,大专
产品经理,25.0,深圳,宝安区,西乡3-5年大专,海淘城,互联网未融资20-99人,陈女士HR,3-5,大专
产品经理,12.5,深圳,深圳市,3-5年本科,致远速联,互联网金融不需要融资100-499人,贾先生CEO,3-5,本科
产品渲染师,12.5,深圳,龙华区,民治1-3年大专,蓝禾科技,电子商务不需要融资1000-9999人,孟女士招聘者,1-3,大专
产品主笔设计师,12.5,深圳,龙岗区,3-5年本科,深圳市左右家私,其他行业未融资1000-9999人,高女士主管,3-5,本科
产品经理,11.5,深圳,福田区,购物公园经验不限本科,领帆教育,培训机构不需要融资0-20人,经理,经验不限,本科
产品经理,17.5,深圳,南山区,科技园3-5年本科,万威国际,互联网D轮及以上100-499人,张女士招聘者,3-5,本科
亚马逊产品经理,11.5,深圳,龙岗区,坂田1-3年本科,泽汇科技,电子商务未融资1000-9999人,HRM,1-3,本科
供应链产品经理,19.0,深圳,龙岗区,坂田3-5年本科,星商电子商务有限公司,贸易/进出口C轮1000-9999人,方女士招聘者,3-5,本科
高级产品经理（push）,45.0,深圳,宝安区,新安5-10年本科,vivo,移动互联网不需要融资10000人以上,张女士招聘经理,5-10,本科
支付产品经理,19.0,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,招聘HR,3-5,本科
短视频内容策略产品经理,30.0,深圳,南山区,深圳湾1-3年本科,OPPO,互联网不需要融资10000人以上,谢女士产品总监,1-3,本科
产品线经理,10.0,深圳,龙岗区,坂田1-3年大专,智汇创想,互联网未融资500-999人,林女士HR,1-3,大专
搜索推荐产品经理,22.5,深圳,宝安区,新安5-10年本科,京东,电子商务已上市10000人以上,吴女士招聘者,5-10,本科
产品开发专员,6.0,深圳,龙岗区,坂田应届生大专,泽汇科技,电子商务未融资1000-9999人,吴女士HR,应届生,大专
安全产品经理,19.0,深圳,南山区,龙华1-3年本科,深信服科技,计算机软件已上市1000-9999人,曾女士招聘专家,1-3,本科
高级Java产品经理,32.5,深圳,南山区,科技园经验不限本科,腾讯,互联网已上市10000人以上,张先生腾讯云产品leader,经验不限,本科
产品经理,9.5,深圳,龙岗区,龙岗中心城经验不限本科,腾晖科技,计算机软件已上市500-999人,林先生总工程师,经验不限,本科
产品开发,6.5,深圳,龙华区,龙华1-3年大专,嘻嘻哈哈茂业科技,电子商务未融资20-99人,骆女士招聘者,1-3,大专
供应链产品负责人,30.0,深圳,南山区,科技园5-10年本科,AKULAKU,互联网金融D轮及以上1000-9999人,王女士招聘经理,5-10,本科
产品技术支持,8.0,深圳,南山区,龙华1-3年本科,EK空调,智能硬件不需要融资1000-9999人,洪先生事业部经理,1-3,本科
前端产品经理,22.5,深圳,福田区,梅林3-5年本科,货拉拉科技,互联网D轮及以上1000-9999人,刘女士hr,3-5,本科
产品策略专家(003560),45.0,深圳,福田区,华强南5-10年本科,vivo,移动互联网不需要融资10000人以上,郭女士招聘经理,5-10,本科
产品总监,30.0,深圳,南山区,科技园5-10年大专,尊豪网络,互联网A轮100-499人,谢先生招聘经理,5-10,大专
产品经理,16.0,深圳,南山区,前海1-3年本科,杭州微慕科技有限公司,智能硬件A轮100-499人,夏女士HRBP,1-3,本科
产品经理,17.0,深圳,福田区,购物公园3-5年本科,致力达成科技有限公司,计算机软件未融资100-499人,陈先生人事经理,3-5,本科
PCG-高级增长产品运营经理,30.0,深圳,南山区,南头5-10年本科,腾讯,互联网已上市10000人以上,招聘经理,5-10,本科
资深产品经理,37.5,深圳,南山区,科技园5-10年本科,追一科技,互联网C轮100-499人,陈先生招聘者,5-10,本科
高级产品经理,32.5,深圳,南山区,科技园3-5年本科,乐信集团,移动互联网已上市1000-9999人,周先生招聘者,3-5,本科
产品专员,7.0,深圳,龙华区,龙华1年以内本科,三赢科技,电子/半导体/集成电路10000人以上,章先生招募专员,1年以内,本科
产品经理,16.0,深圳,宝安区,福永3-5年本科,柏为电子科技,电子商务不需要融资100-499人,海先生创新事业部总监,3-5,本科
软件产品规划高级经理,37.5,深圳,南山区,新安5-10年本科,TCL通讯,通信/网络设备不需要融资1000-9999人,朱先生招聘专员,5-10,本科
产品经理,22.5,深圳,南山区,科技园1-3年本科,久趣英语,在线教育B轮500-999人,柳女士HRBP,1-3,本科
产品开发专员,6.5,深圳,龙岗区,平湖1-3年大专,傲基电子商务,电子商务B轮1000-9999人,任女士高级招聘专员,1-3,大专
产品经理,17.5,深圳,南山区,南山中心1-3年本科,环球易购,电子商务已上市1000-9999人,林女士运营专家,1-3,本科
产品经理,22.5,深圳,福田区,上沙5-10年本科,金地,工程施工已上市1000-9999人,邵先生人力资源经理,5-10,本科
产品开发,7.5,深圳,龙岗区,坂田经验不限大专,泽汇科技,电子商务未融资1000-9999人,梁先生产品开发主管,经验不限,大专
产品经理,25.0,深圳,南山区,科技园5-10年大专,昌正投资,互联网未融资100-499人,宋先生招聘者,5-10,大专
软件产品经理(003555),30.0,深圳,福田区,华强南3-5年本科,vivo,移动互联网不需要融资10000人以上,郭女士招聘经理,3-5,本科
硬件产品经理,21.5,深圳,南山区,龙华3-5年本科,云丁科技,智能硬件D轮及以上500-999人,庄女士HRBP,3-5,本科
产品运营,9.5,深圳,南山区,科技园1-3年本科,随手科技,互联网C轮1000-9999人,冯女士HR,1-3,本科
产品助理,6.5,深圳,龙岗区,坂田1年以内本科,宏博伟智技术,电子商务未融资100-499人,颜女士人事专员,1年以内,本科
产品开发,6.0,深圳,龙岗区,万科经验不限大专,环金科技,电子商务A轮1000-9999人,HRBP,经验不限,大专
产品经理,22.5,深圳,南山区,科技园5-10年本科,北辰德科技,互联网金融未融资500-999人,杜女士HR,5-10,本科
产品经理,12.5,深圳,深圳市,3-5年本科,递四方,物流/仓储D轮及以上1000-9999人,文女士HRBP,3-5,本科
产品经理（信贷）(J10662),12.5,深圳,福田区,石厦1-3年本科,银雁科技服务集团,企业服务不需要融资10000人以上,张女士招聘主管,1-3,本科
